norwegian,english
fall ,downfall
spurte ,asked
fortalt ,told
synd ,sin
skikkelig ,decent
frem ,forward
reddet ,saved
idiot ,idiot
brukte ,used
herrer ,gentlemen
york ,york
trengte ,needed
små ,small
følge ,follow
følger ,following
kaffe ,coffee
sende ,send
pris ,price
problemet ,problem
vakker ,beautiful
foregår ,takes place
syk ,sick
skyte ,shoot
live ,animate
barnet ,child
prate ,talk
ærlig ,honest
farlig ,dangerous
bruk ,use
lot ,lot
bo ,live
drikke ,drink
svarte ,answered
gratulerer ,congratulations
land ,country
større ,bigger
flink ,good
gifte ,marry
rette ,correct
legger ,leg
fortsette ,continue
avtale ,deal
nummer ,number
slipper ,drop
datteren ,daughter
kvelden ,evening
lese ,read
henter ,retrieving
døra ,door
lurer ,wonder
slår ,hits
jaså ,yes
gøy ,fun
bekymret ,worried
ofte ,often
herre ,master
endelig ,finally
ansiktet ,the face
masse ,a lot
åtte ,eight
hjertet ,heart
charlie ,charlie
l ,l
foreldrene ,parents
døren ,door
kun ,only
sto ,stood
betaler ,Pays
ung ,young
skjøt ,joint
datter ,daughter
egne ,fit
skade ,Damage
absolutt ,absolutely
traff ,hit
enkelt ,single
hent ,get
klokka ,the clock
slippe ,let go
forklare ,explain
stole ,trust
skutt ,shot
venstre ,left
råd ,advice
kontakt ,contact
krig ,war
annerledes ,different
verdt ,worth
skrev ,wrote
krigen ,war
eget ,own
stikke ,sting
antar ,assume
dr. ,Dr.
ben ,leg
vant ,won
ønsket ,wished
stikker ,stick
hvite ,white
høyre ,right
historien ,story
david ,david
michael ,michael
beskjed ,message
husk ,remember
tjeneste ,service
føle ,feel
lå ,lay
høyt ,loud
største ,biggest
kort ,card
kastet ,threw
slåss ,fight
vinner ,winner
sjefen ,boss
natten ,night
skadet ,hurt
skyt ,shoot
rør ,tube
spill ,game
sjef ,boss
født ,born
særlig ,especially
kompis ,Buddy
kontoret ,office
sjekke ,check
huske ,remember
glemte ,Forgot
umulig ,impossible
dessverre ,unfortunately
spesielt ,special
person ,person
doktor ,doctor
bevis ,proof
sendt ,sent
falt ,dropped
flytte ,move
mister ,losing
drittsekk ,ass
plan ,plan
by ,city
nødt ,need
forhold ,relationship
vennene ,friends
farvel ,goodbye
klokken ,clock
kult ,cool
steder ,places
opptatt ,busy
noensinne ,ever
stoler ,chair
sover ,sleeping
stolt ,proud
skyter ,shoots
raskt ,quickly
mike ,mike
peter ,peter
verdens ,world
sjekk ,check
vanlig ,usual
svart ,black
skynd ,hurry
vinne ,win
rolle ,role
vannet ,water
ødelegge ,destroy
vare ,play
james ,james
dame ,lady
overalt ,everywhere
søster ,sister
tuller ,jokes
smart ,smart
kjørte ,ran
joe ,joe
skylder ,owes
skriver ,write
passe ,fit
alvorlig ,serious
skatt ,tax
president ,president
lykkelig ,happy
menneske ,human
ødelagt ,broken
planen ,plan
kjæresten ,boyfriend
sekunder ,seconds
stikk ,kick
hånden ,hand
drink ,drink
bilde ,picture
george ,george
ordne ,fix
leder ,manager
mrs. ,Mrs.
kjøpte ,bought
døden ,death
fest ,feast
tv ,TV
forstått ,understand
forlate ,leave
selge ,sell
skål ,toast
brukt ,used
arbeid ,work
iblant ,occasionally
ordre ,order
minste ,minimum
sterk ,strong
kamp ,match
prøvd ,tried
satte ,set
fortsetter ,continue
miste ,loose
lurte ,cheated
dyr ,animal
bord ,table
onkel ,uncle
deler ,part
følg ,follow
søsteren ,sister
savner ,miss
fortjener ,deserves
øl ,beer
lik ,equal
sju ,seven
tingene ,thing
plutselig ,sudden
hvilket ,which
sykehuset ,hospital
send ,sent
skipet ,ship
slikt ,such
søt ,sweet
lyver ,lie
kvinnen ,the woman
møtt ,over
glemt ,forgotten
kroppen ,the body
guds ,God's
interessert ,interested
mrs ,Mrs
harry ,harry
midt ,central
ni ,nine
ligge ,lie
sjansen ,chance
mennene ,The men
interessant ,interesting
lærer ,teacher
skaffe ,provide
okay ,okay
kontroll ,control
stjal ,stole
savnet ,missing
forelsket ,in love
bill ,Bill
merkelig ,strange
enig ,agree
lege ,doctor
fungerer ,works
general ,general
baby ,baby
usa ,United States
kl ,at
forbi ,past
sulten ,hungry
glemme ,forget
lys ,light
lukk ,close
kalle ,call
flyet ,the plane
flyttet ,moved
pent ,pretty
verste ,worst
lærte ,learned
hender ,hands
sluttet ,ended
ære ,honor
innen ,within
kutt ,cut
øyne ,eyes
ryggen ,the back
fleste ,most
agent ,agent
hjalp ,help
eier ,owner
personlig ,personal
mary ,Mary
jim ,jim
nyheter ,news
elske ,love
kaste ,throw
snu ,authorize
dumt ,stupid
hjerte ,heart
sprø ,crazy
blant ,among
følte ,felt
nydelig ,gorgeous
øye ,eye
arbeidet ,work
fanget ,captivity
danny ,dordy
bob ,bob
meter ,meter
unnskyldning ,apology
angrep ,attack
morges ,morning
mening ,opinion
løs ,loose
jentene ,girls
lagt ,added
jævel ,bother
drikker ,drinks
dumme ,stupid
bilder ,pictures
forrige ,previous
trekk ,traits
etterpå ,afterwards
informasjon ,information
advokat ,lawyer
tilgi ,forgive
pleide ,used
bildet ,image
folkens ,guys
slutter ,end
sov ,sleep
både ,both
jorden ,earth
slike ,such
kjempe ,giant
levende ,vivid
lukter ,smells
maten ,food
fbi ,FBI
ma ,ma
trygg ,safe
film ,film
betalt ,paid
alex ,alex
kongen ,king
ordner ,arranges
ferdige ,ready
