,norwegian,english
196,herregud ,OMG
197,forstår ,understand
198,disse ,these
199,pappa ,dad
200,gir ,gear
201,siste ,last
202,hennes ,her
203,mamma ,mom
204,helvete ,hell
205,fant ,found
206,én ,one
207,eneste ,only
208,hør ,hear
209,under ,under
210,sted ,place
211,blitt ,become
212,barn ,children
213,vei ,road
214,bør ,load
215,klar ,clear
216,holder ,holder
217,heter ,called
218,skjedde ,happened
219,slutt ,end
220,visst ,of
221,prøver ,trial
222,penger ,money
223,drepe ,kill
224,fint ,fine
225,hallo ,hello
226,tro ,believe
227,mr. ,Mr.
228,husker ,remember
229,drar ,is
230,døde ,died
231,borte ,gone
232,mor ,tender
233,redd ,afraid
234,snart ,soon
235,rundt ,round
236,beste ,best
237,holde ,hold
238,faren ,danger
239,like ,like
240,finner ,finds
241,våre ,our
242,høre ,hear
243,bilen ,car
244,flere ,several
245,verden ,world
246,tatt ,taken
247,hver ,each
248,gud ,God
249,venn ,friend
250,annet ,second
251,hos ,at
252,hører ,listen
253,måtte ,had to
254,veien ,road
255,fortelle ,tell
256,bort ,over
257,først ,first
258,inne ,in
259,fått ,received
260,glad ,happy
261,ga ,go
262,gjennom ,through
263,heller ,rather
264,betyr ,means
265,liv ,life
266,tiden ,time
267,lei ,sorry
268,sikker ,secure
269,neste ,next
270,mannen ,man
271,sikkert ,certainly
272,lenger ,farther
273,gjerne ,happily
274,hørte ,heard
275,unna ,away
276,nye ,new
277,sagt ,said
278,fem ,five
279,vekk ,away
280,alene ,alone
281,hatt ,hat
282,snakket ,talked
283,flott ,great
284,derfor ,therefore
285,store ,big
286,skjønner ,understand
287,føler ,feel
288,menn ,men
289,klart ,clear
290,ny ,new
291,liten ,small
292,jobber ,job
293,mr ,MR
294,dø ,die
295,håper ,hope
296,jævla ,damn
297,grunn ,superficial
298,ennå ,yet
299,klarer ,clear
300,dager ,days
301,tenkte ,thought
302,politiet ,police
303,byen ,city
304,ganger ,times
305,pengene ,money
306,jobb ,job
307,langt ,far
308,venner ,friends
309,sitt ,its
310,faktisk ,actual
311,nesten ,almost
312,drepte ,killed
313,huset ,house
314,jobben ,job
315,kjære ,dear
316,minutter ,minutes
317,gamle ,old
318,hjemme ,at home
319,venter ,wait
320,ellers ,else
321,dagen ,day
322,vårt ,our
323,hverandre ,each other
324,fire ,four
325,begge ,both
326,navn ,name
327,dit ,there
328,moren ,the mother
329,gutt ,boy
330,be ,pray
331,bak ,behind
332,hørt ,heard
333,natt ,night
334,fort ,fast
335,nettopp ,exactly
336,familien ,family
337,ferdig ,finished
338,herfra ,from here
339,drept ,killed
340,virker ,works
341,tenk ,think
342,mens ,while
343,stedet ,place
344,møte ,Meeting
345,stille ,quiet
346,ei ,a
347,dollar ,dollars
348,lille ,little
349,engang ,once
350,ett ,one
351,måte ,manner
352,dårlig ,bad
353,hyggelig ,nice
354,sine ,their
355,hodet ,head
356,funnet ,found
357,orden ,order
358,synes ,think
359,gode ,good
360,ganske ,pretty
361,par ,couple
362,begynner ,begins
363,galt ,hog
364,ba ,pray
365,prøve ,try
366,slå ,hit
367,tenker ,thinker
368,vanskelig ,difficult
369,vise ,show
370,lkke ,lk
371,ringer ,rings
372,slags ,kind
373,ti ,ten
374,allerede ,already
375,ønsker ,wishes
376,del ,share
377,fortell ,tell
378,gått ,walked
379,hvilken ,which
380,prøvde ,tried
381,pokker ,damn
382,tenke ,imagine
383,saken ,case
384,skyld ,fault
385,klare ,manage
386,gammel ,old
387,bruke ,use
388,uansett ,regardless
389,slipp ,release
390,mistet ,lost
391,viktig ,important
392,spør ,traces
393,sånt ,such
394,helst ,preferably
395,jente ,girl
396,øyeblikk ,moment
397,tenkt ,thought
398,spørsmål ,questions
399,mellom ,between
400,bor ,drill
401,mi ,mi
402,dør ,door
403,egen ,own
404,kvinne ,woman
405,ligger ,is located
406,ord ,word
407,stopp ,stop
408,dro ,look
409,stemmer ,votes
410,rolig ,calm
411,a ,a
412,nytt ,new
413,ber ,pray
414,fortalte ,told
415,riktig ,correct
416,all ,all
417,fin ,fine
418,kommet ,arrived
419,stå ,stand
420,lett ,easy
421,timer ,hour
422,vente ,wait
423,redde ,save
424,spise ,eat
425,høres ,sounds
426,treffe ,hit
427,setter ,set
428,mennesker ,human beings
429,jenta ,girl
430,sitter ,seat
431,sønn ,son
432,legg ,lay
433,slapp ,relax
434,velkommen ,welcome
435,spiller ,player
436,bryr ,care
437,ringe ,ring
438,syns ,see
439,skje ,happen
440,kaptein ,captain
441,fyr ,Lighthouse
442,mat ,food
443,sette ,set
444,john ,John
445,jobbet ,work
446,fyren ,guy
447,di ,di
448,leve ,live
449,tak ,roof
450,enda ,though
451,seks ,six
452,selvsagt ,of course
453,egentlig ,actually
454,bruker ,User
455,mulig ,possible
456,gutten ,boy
457,åpne ,to open
458,finnes ,exists
459,jack ,jack
460,best ,best
461,lang ,long
462,full ,full
463,problemer ,problem
464,ses ,sess
465,videre ,further
466,navnet ,name
467,lever ,liver
468,holdt ,gave
469,imot ,against
470,spørre ,ask
471,utrolig ,incredible
472,satt ,sat
473,kone ,wife
474,dreper ,kill
475,sent ,late
476,fins ,exist
477,nede ,down
478,oppe ,upstairs
479,ring ,ring
480,kjeft ,jaw
481,lar ,thigh
482,skjedd ,happened
483,begynte ,began
484,kona ,wife
485,ringte ,called
486,hus ,House
487,hater ,hate
488,mindre ,less
489,hente ,get
490,fantastisk ,fantastic
491,hjelper ,helper
492,new ,new
493,fremdeles ,still
494,barna ,kids
495,gutter ,boys
496,jobbe ,work
497,handler ,war
498,mest ,most
499,spille ,play
500,selvfølgelig ,of course
501,stort ,large
502,fram ,forward
503,kaller ,calls
504,ro ,row
505,vennen ,friend
506,glem ,forget
507,rommet ,space
508,kjøre ,drive
509,øynene ,eyes
510,vann ,water
511,forsiktig ,careful
512,sjanse ,chance
513,skolen ,the school
514,kjører ,driving
515,løp ,run
516,gal ,crazy
517,lover ,law
518,herr ,sir
519,gangen ,passage
520,resten ,rest
521,side ,page
522,pass ,passport
523,fred ,peace
524,sønnen ,son
525,lage ,make
526,plass ,place
527,sannheten ,truth
528,ekte ,genuine
529,kjent ,known
530,fri ,free
531,uke ,week
532,foran ,in front of
533,våpen ,arms
534,fast ,solid
535,an ,osteop
536,lite ,little
537,broren ,brother
538,måneder ,months
539,landet ,country
540,snakk ,talk
541,s ,S
542,hvert ,each
543,driver ,driver
544,tur ,trip
545,tidligere ,earlier
546,kvinner ,women
547,the ,the
548,ønske ,desire
549,prøv ,try
550,bil ,car
551,valg ,choice
552,legge ,lay
553,bror ,brother
554,føles ,feels
555,vondt ,hurt
556,miss ,miss
557,straks ,soon
558,kjøpe ,purchase
559,gitt ,provided
560,stund ,while
561,laget ,species
562,jøss ,yea
563,pa ,on
564,tidlig ,early
565,begynne ,begin
566,idé ,idea
567,fly ,fly
568,mente ,meant
569,time ,hour
570,tide ,time
571,passer ,fit
572,hendene ,hands
573,blod ,blood
574,perfekt ,perfect
575,kjente ,knew
576,sint ,angry
577,lære ,learn
578,rart ,weird
579,verre ,worse
580,dritt ,shit
581,sove ,sleep
582,betale ,pay
583,svar ,answer
584,svært ,very
585,sam ,together
586,frank ,frank
587,gift ,married
588,gjelder ,lever
589,ventet ,waited
590,sendte ,sent
591,finn ,find
592,lager ,storage
593,altså ,therefore
594,fengsel ,jail
595,sist ,last
596,unge ,young
597,likevel ,Nevertheless
598,ille ,bad
599,uker ,week
600,fortsett ,Continue
601,viser ,shows
602,stoppe ,stop
603,klarte ,was able to
604,hånd ,hand
605,forteller ,says
606,kjærlighet ,love
607,aner ,idea
608,slutte ,quit
609,lov ,law
610,nær ,near
611,morsomt ,fun
612,dr ,dream
613,elsket ,loved
614,sender ,pass
615,hardt ,hard
616,lykke ,happiness
617,sitte ,sit
618,middag ,dinner
619,historie ,history
620,skrive ,write
621,beskytte ,protect
622,lyst ,want
623,dum ,dumb
624,fare ,danger
625,spiser ,eats
626,sak ,case
627,forstå ,understand
628,reise ,travel
629,slo ,struck
630,leter ,looking
631,sex ,sex
632,måten ,way
633,likte ,liked
634,millioner ,millions
635,damer ,ladies
636,jenter ,girls
637,kjør ,drive
638,fall ,downfall
639,spurte ,asked
640,fortalt ,told
641,synd ,sin
642,skikkelig ,decent
643,frem ,forward
644,reddet ,saved
645,brukte ,used
646,herrer ,gentlemen
647,york ,york
648,trengte ,needed
649,små ,small
650,følge ,follow
651,følger ,following
652,kaffe ,coffee
653,sende ,send
654,pris ,price
655,problemet ,problem
656,foregår ,takes place
657,syk ,sick
658,skyte ,shoot
659,live ,animate
660,barnet ,child
661,prate ,talk
662,ærlig ,honest
663,farlig ,dangerous
664,bruk ,use
665,lot ,lot
666,bo ,live
667,drikke ,drink
668,svarte ,answered
669,gratulerer ,congratulations
670,land ,country
671,større ,bigger
672,flink ,good
673,gifte ,marry
674,rette ,correct
675,legger ,leg
676,fortsette ,continue
677,avtale ,deal
678,nummer ,number
679,slipper ,drop
680,datteren ,daughter
681,kvelden ,evening
682,lese ,read
683,døra ,door
684,lurer ,wonder
685,slår ,hits
686,gøy ,fun
687,bekymret ,worried
688,ofte ,often
689,herre ,master
690,endelig ,finally
691,masse ,a lot
692,åtte ,eight
693,hjertet ,heart
694,charlie ,charlie
695,l ,l
696,foreldrene ,parents
697,døren ,door
698,kun ,only
699,sto ,stood
700,betaler ,Pays
701,ung ,young
702,skjøt ,joint
703,datter ,daughter
704,egne ,fit
705,skade ,Damage
706,absolutt ,absolutely
707,traff ,hit
708,enkelt ,single
709,hent ,get
710,klokka ,the clock
711,slippe ,let go
712,forklare ,explain
713,stole ,trust
714,skutt ,shot
715,venstre ,left
716,råd ,advice
717,kontakt ,contact
718,krig ,war
719,annerledes ,different
720,verdt ,worth
721,skrev ,wrote
722,krigen ,war
723,eget ,own
724,stikke ,sting
725,antar ,assume
726,dr. ,Dr.
727,ben ,leg
728,vant ,won
729,ønsket ,wished
730,stikker ,stick
731,hvite ,white
732,historien ,story
733,david ,david
734,michael ,michael
735,beskjed ,message
736,husk ,remember
737,tjeneste ,service
738,føle ,feel
739,lå ,lay
740,høyt ,loud
741,kort ,card
742,kastet ,threw
743,slåss ,fight
744,vinner ,winner
745,sjefen ,boss
746,skadet ,hurt
747,skyt ,shoot
748,rør ,tube
749,spill ,game
750,sjef ,boss
751,født ,born
752,særlig ,especially
753,kontoret ,office
754,sjekke ,check
755,huske ,remember
756,glemte ,Forgot
757,umulig ,impossible
758,dessverre ,unfortunately
759,spesielt ,special
760,person ,person
761,doktor ,doctor
762,bevis ,proof
763,sendt ,sent
764,falt ,dropped
765,flytte ,move
766,mister ,losing
767,drittsekk ,ass
768,plan ,plan
769,by ,city
770,forhold ,relationship
771,vennene ,friends
772,farvel ,goodbye
773,klokken ,clock
774,kult ,cool
775,steder ,places
776,opptatt ,busy
777,noensinne ,ever
778,stoler ,chair
779,sover ,sleeping
780,stolt ,proud
781,skyter ,shoots
782,raskt ,quickly
783,mike ,mike
784,peter ,peter
785,verdens ,world
786,sjekk ,check
787,vanlig ,usual
788,svart ,black
789,skynd ,hurry
790,vinne ,win
791,rolle ,role
792,vannet ,water
793,vare ,play
794,james ,james
795,dame ,lady
796,søster ,sister
797,tuller ,jokes
798,smart ,smart
799,kjørte ,ran
800,joe ,joe
801,skylder ,owes
802,skriver ,write
803,passe ,fit
804,alvorlig ,serious
805,skatt ,tax
806,president ,president
807,lykkelig ,happy
808,menneske ,human
809,ødelagt ,broken
810,planen ,plan
811,kjæresten ,boyfriend
812,sekunder ,seconds
813,stikk ,kick
814,hånden ,hand
815,drink ,drink
816,bilde ,picture
817,george ,george
818,ordne ,fix
819,leder ,manager
820,mrs. ,Mrs.
821,kjøpte ,bought
822,døden ,death
823,fest ,feast
824,tv ,TV
825,forstått ,understand
826,forlate ,leave
827,selge ,sell
828,skål ,toast
829,brukt ,used
830,arbeid ,work
831,iblant ,occasionally
832,ordre ,order
833,minste ,minimum
834,sterk ,strong
835,kamp ,match
836,prøvd ,tried
837,satte ,set
838,fortsetter ,continue
839,miste ,loose
840,lurte ,cheated
841,dyr ,animal
842,bord ,table
843,onkel ,uncle
844,deler ,part
845,følg ,follow
846,søsteren ,sister
847,savner ,miss
848,fortjener ,deserves
849,øl ,beer
850,lik ,equal
851,sju ,seven
852,tingene ,thing
853,plutselig ,sudden
854,sykehuset ,hospital
855,send ,sent
856,skipet ,ship
857,slikt ,such
858,søt ,sweet
859,lyver ,lie
860,kvinnen ,the woman
861,møtt ,over
862,glemt ,forgotten
863,kroppen ,the body
864,guds ,God's
865,interessert ,interested
866,mrs ,Mrs
867,harry ,harry
868,midt ,central
869,ni ,nine
870,ligge ,lie
871,sjansen ,chance
872,mennene ,The men
873,interessant ,interesting
874,lærer ,teacher
875,skaffe ,provide
876,okay ,okay
877,kontroll ,control
878,stjal ,stole
879,savnet ,missing
880,forelsket ,in love
881,bill ,Bill
882,merkelig ,strange
883,enig ,agree
884,lege ,doctor
885,fungerer ,works
886,general ,general
887,baby ,baby
888,usa ,United States
889,kl ,at
890,forbi ,past
891,sulten ,hungry
892,glemme ,forget
893,lys ,light
894,lukk ,close
895,kalle ,call
896,flyet ,the plane
897,flyttet ,moved
898,pent ,pretty
899,verste ,worst
900,lærte ,learned
901,hender ,hands
902,sluttet ,ended
903,ære ,honor
904,innen ,within
905,kutt ,cut
906,øyne ,eyes
907,ryggen ,the back
908,agent ,agent
909,hjalp ,help
910,eier ,owner
911,personlig ,personal
912,mary ,Mary
913,jim ,jim
914,nyheter ,news
915,elske ,love
916,kaste ,throw
917,snu ,authorize
918,dumt ,stupid
919,hjerte ,heart
920,sprø ,crazy
921,blant ,among
922,følte ,felt
923,nydelig ,gorgeous
924,øye ,eye
925,arbeidet ,work
926,fanget ,captivity
927,danny ,dordy
928,bob ,bob
929,meter ,meter
930,unnskyldning ,apology
931,angrep ,attack
932,morges ,morning
933,mening ,opinion
934,løs ,loose
935,jentene ,girls
936,lagt ,added
937,jævel ,bother
938,drikker ,drinks
939,dumme ,stupid
940,bilder ,pictures
941,forrige ,previous
942,trekk ,traits
943,etterpå ,afterwards
944,informasjon ,information
945,advokat ,lawyer
946,tilgi ,forgive
947,pleide ,used
948,bildet ,image
949,folkens ,guys
950,slutter ,end
951,sov ,sleep
952,både ,both
953,jorden ,earth
954,slike ,such
955,kjempe ,giant
956,levende ,vivid
957,lukter ,smells
958,maten ,food
959,fbi ,FBI
960,ma ,ma
961,trygg ,safe
962,film ,film
963,betalt ,paid
964,alex ,alex
965,kongen ,king
966,ordner ,arranges
967,ferdige ,ready
